Key,en,he,it,es,fr,ar,ru
cam_inst_cloth_sub,Background will be removed (AI BG),הרקע ינוקה אוטומטית (AI BG),Lo sfondo verrà rimosso,El fondo se eliminará,Le fond sera supprimé,ستتم إزالة الخلفية,Фон будет удалён (AI BG)
cam_inst_barcode_main,🏷️ Scan Barcode,🏷️ סריקת ברקוד,🏷️ Scansiona codice,🏷️ Escanear código,🏷️ Scanner le code,🏷️ مسح الباركود,🏷️ Отсканируйте штрихкод
cam_inst_barcode_sub,Hold the camera steady,החזיקי את המצלמה יציבה,Tieni ferma la fotocamera,Mantén la cámara firme,Gardez l'appareil photo stable,امسك الكاميرا بثبات,Держите камеру неподвижно.
cam_inst_invoice_main,🧾 Capture the invoice,🧾 צלמי את החשבונית,🧾 Cattura la fattura,🧾 Captura la factura,🧾 Capturer la facture,🧾 التقط الفاتورة,🧾 Списать счет-фактуру
cam_inst_invoice_sub,Ensure text is readable,וודאי שהטקסט ברור וקריא,Assicurati che il testo sia leggibile,Asegúrate de que el texto sea legible,Assurez-vous que le texte est lisible,تأكد من أن النص مقروء,"Убедитесь, что текст читаем."
cam_btn_capture_avatar,📸 Capture Avatar,📸 צלמי אווטר,📸 Cattura Avatar,📸 Capturar Avatar,📸 Capturer Avatar,📸 التقط الصورة الرمزية,📸 Создание аватара
cam_btn_capture_cloth,📸 Capture Item,📸 צלמי פריט,📸 Cattura Oggetto,📸 Capturar Artículo,📸 Capturer l'article,📸 التقط العنصر,📸 Сфотографируйте предмет
cam_btn_capture_invoice,📸 Capture Invoice,📸 צלמי חשבונית,📸 Cattura Fattura,📸 Capturar Factura,📸 Capturer la facture,📸 التقط الفاتورة,📸 Создание счета-фактуры
cam_btn_scan_auto,Scanning...,סורק אוטומטית...,Scansione...,Escaneando...,Numérisation...,جارٍ المسح...,Сканирование...
cam_btn_capture,📸 Capture,📸 צלמי,📸 Cattura,📸 Capturar,📸 Capturer,📸 التقاط,📸 Снимайте
confirm_bulk_del,Are you sure you want to delete {0} selected items?,האם אתה בטוח שברצונך למחוק {0} פריטים נבחרים?,Sei sicuro di voler eliminare {0} elementi selezionati?,¿Estás seguro de que quieres eliminar {0} elementos seleccionados?,Êtes-vous sûr de vouloir supprimer {0} éléments sélectionnés?,هل أنت متأكد أنك تريد حذف {0} عناصر محددة؟,"Вы уверены, что хотите удалить {0} выбранных элементов?"
avatar_defined,Avatar Set,אווטר מוגדר,Avatar Impostato,Avatar Establecido,Avatar Défini,تم تعيين الصورة الرمزية,Набор аватара
avatar_setup,Setup Avatar,הגדרת אווטר,Imposta Avatar,Configurar Avatar,Configurer l'Avatar,إعداد الصورة الرمزية,Настройка аватара
add_item,Add Item,הוסף פריט,Aggiungi Articolo,Añadir Artículo,Ajouter un Article,إضافة عنصر,Добавить товар
wiz_profile_title,📏 Body Profile Wizard,📏 אשף פרופיל גוף,📏 Creazione Profilo Fisico,📏 Asistente de Perfil Corporal,📏 Assistant Profil Corporel,📏 معالج الملف الشخصي للجسم,📏 Мастер создания профиля тела
wiz_profile_desc,Enter your exact measurements to allow the AI to mathematically check if garments will fit you before recommending them!,הזן את המידות המדויקות שלך כדי לאפשר לבינה המלאכותית לבדוק מתמטית אם הבגדים יתאימו לך לפני שהיא ממליצה עליהם!,Inserisci le tue misure esatte per consentire all'IA di verificare matematicamente se i capi ti stanno bene prima di consigliarli!,¡Introduce tus medidas exactas para permitir que la IA verifique matemáticamente si las prendas te quedarán bien antes de recomendarlas!,Saisissez vos mensurations exactes pour permettre à l'IA de vérifier mathématiquement si les vêtements vous iront avant de les recommander !,أدخل قياساتك الدقيقة للسماح للذكاء الاصطناعي بالتحقق رياضيًا مما إذا كانت الملابس ستناسبك قبل التوصية بها!,"Введите свои точные мерки, чтобы искусственный интеллект математически проверил, подойдут ли вам эти вещи, прежде чем рекомендовать их!"
wiz_basic_info,1. Basic Info,1. מידע בסיסי,1. Informazioni di base,1. Información básica,1. Informations de base,1. المعلومات الأساسية,1. Основная информация
wiz_name_placeholder,Name (e.g. Guy),שם (למשל גיא),Nome (es. Guy),Nombre (ej. Guy),Nom (ex. Guy),الاسم (مثل غاي),"Имя (например, Гай)"
wiz_weight_placeholder,Weight (kg),"משקל (ק""ג)",Peso (kg),Peso (kg),Poids (kg),الوزن (كجم),Вес (кг)
wiz_top_meas,2. Top Measurements (cm),"2. מידות גוף עליון (ס""מ)",2. Misure Parte Superiore (cm),2. Medidas Superiores (cm),2. Mensurations Haut (cm),2. قياسات الجزء العلوي (سم),2. Верхние размеры (см)
wiz_chest,Chest (Around),חזה (היקף),Torace (Circonferenza),Pecho (Contorno),Poitrine (Tour),الصدر (محيط),Обхват груди (примерно)
wiz_shoulders,Shoulders (Across),כתפיים (רוחב),Spalle (Larghezza),Hombros (Ancho),Épaules (Largeur),الأكتاف (العرض),Плечи (поперек)
wiz_bottom_meas,3. Bottom Measurements (cm),"3. מידות פלג גוף תחתון (ס""מ)",3. Misure Parte Inferiore (cm),3. Medidas Inferiores (cm),3. Mensurations Bas (cm),3. قياسات الجزء السفلي (سم),3. Размеры дна (см)
wiz_waist,Waist (Around),מותניים (היקף),Vita (Circonferenza),Cintura (Contorno),Taille (Tour),الخصر (محيط),Талия (обхват)
wiz_inseam,Inseam (Length),אורך רגל פנימי,Cavallo (Lunghezza),Tiro (Longitud),Entrejambe (Longueur),طول الساق الداخلي,Длина внутреннего шва
wiz_save_profile,💾 Save Body Profile,💾 שמור פרופיל גוף,💾 Salva Profilo,💾 Guardar Perfil,💾 Enregistrer le profil,💾 حفظ الملف الشخصي للجسم,💾 Сохранить профиль тела
wiz_edit_profile,📏 Edit Profile,📏 ערוך פרופיל,📏 Modifica Profilo,📏 Editar Perfil,📏 Modifier le profil,📏 تعديل الملف الشخصي,📏 Редактировать профиль
stylist_avatar_name,Avatar Name (e.g. Yulia),שם אווטר (למשל יוליה),Nome Avatar (es. Yulia),Nombre del Avatar (ej. Yulia),Nom de l'Avatar (ex. Yulia),اسم الصورة الرمزية (مثل يوليا),"Имя аватара (например, Юлия)"
stylist_my_meas,My Body Measurements,מידות הגוף שלי,Le Mie Misure,Mis Medidas,Mes Mensurations,قياسات جسمي,Мои параметры тела
stylist_anon_user,Anonymous User,משתמש אנונימי,Utente Anonimo,Usuario Anónimo,Utilisateur Anonyme,مستخدم مجهول,Анонимный пользователь
stylist_no_meas,No measurements set,לא הוגדרו מידות,Nessuna misura impostata,Sin medidas establecidas,Aucune mesure définie,لم يتم تعيين قياسات,Измерения не заданы
stylist_chat_placeholder,Ask for an outfit...,בקש תלבושת...,Chiedi un outfit...,Pide un atuendo...,Demandez une tenue...,اطلب زيًا...,Попросите подобрать вам наряд...
stylist_welcome,👗 Welcome to your Personal Stylist!,👗 ברוך הבא לסטייליסט האישי שלך!,👗 Benvenuto nel tuo Personal Stylist!,👗 ¡Bienvenido a tu Estilista Personal!,👗 Bienvenue chez votre styliste personnel !,👗 مرحبًا بك في مصمم الأزياء الشخصي الخاص بك!,👗 Добро пожаловать к вашему персональному стилисту!
stylist_welcome_desc,I can analyze the weather outside and the actual clothes in your closet.,אני יכול לנתח את מזג האוויר בחוץ ואת הבגדים שיש לך בארון.,Posso analizzare il tempo fuori e i vestiti nel tuo armadio.,Puedo analizar el clima y la ropa real de tu armario.,Je peux analyser la météo et les vêtements de votre garde-robe.,يمكنني تحليل الطقس بالخارج والملابس الفعلية في خزانتك.,Я могу проанализировать погоду на улице и содержимое вашего шкафа.
stylist_welcome_hint,"Try asking: ""What should I wear for a date night?"" or use the visual wardrobe to manually Try-On your favorite pieces!","נסה לשאול: ""מה כדאי לי ללבוש לדייט?"" או השתמש בארון הוירטואלי למדידה ידנית!","Prova a chiedere: ""Cosa indosso per un appuntamento?"" o usa l'armadio visivo!","Prueba a preguntar: ""¿Qué me pongo para una cita?"" ¡o usa el armario visual!","Essayez : ""Que dois-je porter pour un rendez-vous ?"" ou utilisez la garde-robe visuelle !","جرب أن تسأل: ""ماذا يجب أن أرتدي في موعد غرامي؟"" أو استخدم الخزانة المرئية!","Попробуйте задать себе вопрос: «Что мне надеть на свидание?» или воспользуйтесь визуальным гардеробом, чтобы вручную примерить понравившиеся вещи!"
stylist_analyzing,Analyzing your wardrobe and the weather...,מנתח את הארון ומזג האוויר...,Analisi del guardaroba e del meteo...,Analizando tu armario y el clima...,Analyse de votre garde-robe et de la météo...,جاري تحليل خزانتك والطقس...,Анализ вашего гардероба и погоды...
filter_all_seasons,🌍 All Seasons,🌍 כל העונות,🌍 Tutte le stagioni,🌍 Todas las estaciones,🌍 Toutes les saisons,🌍 جميع الفصول,🌍 Все сезоны
filter_summer,☀️ Summer,☀️ קיץ,☀️ Estate,☀️ Verano,☀️ Été,☀️ صيف,☀️ Лето
filter_winter,❄️ Winter,❄️ חורף,❄️ Inverno,❄️ Invierno,❄️ Hiver,❄️ شتاء,❄️ Зима
filter_spring,🌸 Spring,🌸 אביב,🌸 Primavera,🌸 Primavera,🌸 Printemps,🌸 ربيع,🌸 Весна
filter_fall,🍂 Fall,🍂 סתיו,🍂 Autunno,🍂 Otoño,🍂 Automne,🍂 خريف,🍂 Осень
filter_all_occ,👔 All Occasions,👔 כל האירועים,👔 Tutte le occasioni,👔 Todas las ocasiones,👔 Toutes les occasions,👔 جميع المناسبات,👔 На все случаи жизни
filter_casual,👕 Casual,👕 יומיומי,👕 Casual,👕 Casual,👕 Décontracté,👕 كاجوال,👕 Повседневный
filter_work,💼 Work,💼 עבודה,💼 Lavoro,💼 Trabajo,💼 Travail,💼 عمل,💼 Работа
filter_wedding,👔 Wedding,👔 חתונה/רשמי,👔 Matrimonio/Elegante,👔 Boda/Formal,👔 Mariage/Formel,👔 زفاف/رسمي,👔 Свадьба
filter_gym,🏋️ Gym,🏋️ חדר כושר,🏋️ Palestra,🏋️ Gimnasio,🏋️ Sport,🏋️ رياضة,🏋️ Тренажерный зал
stylist_no_clothes,No clean clothes found matching this filter.<br>Ensure you have added clothing to your inventory!,לא נמצאו בגדים נקיים התואמים לסינון.<br>וודא שהוספת בגדים למלאי!,Nessun vestito pulito trovato.<br>Assicurati di aver aggiunto vestiti!,No se encontró ropa limpia.<br>¡Asegúrate de haber añadido ropa!,Aucun vêtement propre trouvé.<br>Assurez-vous d'avoir ajouté des vêtements !,لم يتم العثور على ملابس نظيفة تطابق هذا الفلتر.<br>تأكد من إضافة ملابس إلى مخزونك!,"Чистой одежды, соответствующей этому фильтру, не найдено.<br>Убедитесь, что вы добавили одежду в свой инвентарь!"
stylist_try_on_btn,✨ Try On Selected,✨ מדוד נבחרים,✨ Prova Selezionati,✨ Probar Seleccionados,✨ Essayer la sélection,✨ تجربة المحدد,✨ Примерьте выбранные товары
stylist_all_items,✨ All Items,✨ כל הפריטים,✨ Tutti gli articoli,✨ Todos los artículos,✨ Tous les articles,✨ جميع العناصر,✨ Все товары
item_stylist_details,👗 Stylist & Fit Details,👗 פרטי סטיילינג והתאמה,👗 Dettagli Stylist & Vestibilità,👗 Detalles de Estilo y Ajuste,👗 Détails Styliste et Coupe,👗 تفاصيل المصمم والقياس,👗 Информация о стилисте и посадке
item_owner_placeholder,Owner,שייך ל,Proprietario,Propietario,Propriétaire,المالك,Владелец
status_clean,✨ Clean,✨ נקי,✨ Pulito,✨ Limpio,✨ Propre,✨ نظيف,✨ Чистота
status_laundry,🧺 In Laundry,🧺 בכביסה,🧺 Da Lavare,🧺 En la lavadora,🧺 Au linge,🧺 في الغسيل,🧺 В прачечной
status_archived,📦 Archived,📦 מאוחסן,📦 Archiviato,📦 Archivado,📦 Archivé,📦 مؤرشف,📦 Архив
item_seasons_multi,Seasons (Multi-Select),עונות (בחירה מרובה),Stagioni (Selezione multipla),Estaciones (Selección múltiple),Saisons (Sélection multiple),الفصول (اختيار متعدد),Сезоны (выбор нескольких вариантов)
item_occ_multi,Occasions (Multi-Select),אירועים (בחירה מרובה),Occasioni (Selezione multipla),Ocasiones (Selección múltiple),Occasions (Sélection multiple),المناسبات (اختيار متعدد),Поводы (Множественный выбор)
item_meas_label,Garment Measurements (cm),"מידות הבגד (ס""מ)",Misure del Capo (cm),Medidas de la Prenda (cm),Mensurations du vêtement (cm),قياسات الملابس (سم),Размеры одежды (см)
item_meas_placeholder,"e.g. Chest: 40, Waist: 32","למשל חזה: 40, מותניים: 32","es. Torace: 40, Vita: 32","ej. Pecho: 40, Cintura: 32","ex. Poitrine: 40, Taille: 32",مثل الصدر: 40، الخصر: 32,"Например: Обхват груди: 40, Обхват талии: 32"
item_too_small,⚠️ Too Small,⚠️ קטן מדי,⚠️ Troppo Piccolo,⚠️ Demasiado Pequeño,⚠️ Trop Petit,⚠️ صغير جداً,⚠️ Слишком маленький
item_too_small_badge,⚠️ Small,⚠️ קטן,⚠️ Piccolo,⚠️ Pequeño,⚠️ Petit,⚠️ صغير,⚠️ Маленький
wiz_profile_title,📏 Body Profile Wizard,📏 אשף פרופיל גוף,📏 Profilo Corporeo,📏 Perfil Corporal,📏 Profil Corporel,📏 معالج ملف الجسم,📏 Мастер создания профиля тела
wiz_profile_desc,Enter your exact measurements to allow the AI to mathematically check if garments will fit you!,הזן את המידות המדויקות שלך כדי לאפשר לבינה המלאכותית לבדוק מתמטית אם הבגדים יתאימו לך!,Inserisci le tue misure esatte per consentire all'intelligenza artificiale di verificare se i vestiti ti stanno bene!,¡Ingresa tus medidas exactas para permitir que la IA verifique matemáticamente si la ropa te quedará bien!,Entrez vos mensurations exactes pour permettre à l'IA de vérifier mathématiquement si les vêtements vous vont !,أدخل قياساتك الدقيقة للسماح للذكاء الاصطناعي بالتحقق رياضياً مما إذا كانت الملابس ستناسبك!,"Введите свои точные мерки, чтобы искусственный интеллект математически проверил, подойдут ли вам эти вещи!"
wiz_basic_info,1. Basic Info,1. מידע בסיסי,1. Info di base,1. Información básica,1. Infos de base,1. معلومات أساسية,1. Основная информация
wiz_top_meas,2. Top Measurements (cm),"2. מידות גוף עליון (ס\מ)""",2. Misure Superiori (cm),2. Medidas Superiores (cm),2. Mesures Haut (cm),2. قياسات الجزء العلوي (سم),2. Верхние размеры (см)
wiz_bottom_meas,3. Bottom Measurements (cm),"3. מידות פלג גוף תחתון (ס\מ)""",3. Misure Inferiori (cm),3. Medidas Inferiores (cm),3. Mesures Bas (cm),3. قياسات الجزء السفلي (سم),3. Размеры дна (см)
wiz_shoes_title,4. Shoe Size,4. מידת נעליים,4. Misura Scarpe,4. Talla de Zapatos,4. Pointure,4. مقاس الحذاء,4. Размер обуви
wiz_avatar_title,5. Avatar Image,5. תמונת אווטר,5. Immagine Avatar,5. Imagen de Avatar,5. Image Avatar,5. صورة الصورة الرمزية,5. Изображение аватара
wiz_avatar_desc,Upload or capture a full-body photo for Virtual Try-On.,צלם או העלה תמונת גוף מלאה עבור תא המדידה הווירטואלי.,Carica o scatta una foto a corpo intero per la Prova Virtuale.,Sube o captura una foto de cuerpo entero para el Probador Virtual.,Téléchargez ou prenez une photo en pied pour l'essayage virtuel.,قم بتحميل أو التقاط صورة لكامل الجسم للتجربة الافتراضية.,Загрузите или сделайте фотографию в полный рост для виртуальной примерки.
wiz_chest,Chest,חזה,Petto,Pecho,Poitrine,صدر,Грудь
wiz_shoulders,Shoulders,כתפיים,Spalle,Hombros,Épaules,أكتاف,Плечи
wiz_waist,Waist,מותניים,Vita,Cintura,Taille,خصر,Талия
wiz_inseam,Inseam,אורך רגל פנימי,Cucitura interna,Entrepierna,Couture intérieure,طول الساق الداخلي,Внутренний шов
wiz_save_profile,💾 Save Body Profile,💾 שמור פרופיל,💾 Salva Profilo,💾 Guardar Perfil,💾 Enregistrer le profil,💾 حفظ الملف الشخصي,💾 Сохранить профиль тела
take_photo,Take Photo,צלם תמונה,Scatta Foto,Tomar Foto,Prendre une photo,التقاط صورة,Сделать фото
upload_image,Upload Image,העלה תמונה,Carica Immagine,Subir Imagen,Télécharger une image,رفع صورة,Загрузить изображение
wiz_name_placeholder,Name (e.g. Guy),שם (למשל גיא),Nome (es. Guy),Nombre (ej. Guy),Nom (ex. Guy),الاسم (مثل غاي),"Имя (например, Гай)"
wiz_weight_placeholder,Weight (kg),"משקל (ק\ג)""",Peso (kg),Peso (kg),Poids (kg),الوزن (كجم),Вес (кг)
wiz_shoes_placeholder,Shoe Size,מידה (למשל 42),Misura (es. 42),Talla (ej. 42),Pointure (ex. 42),المقاس (مثل 42),Размер обуви
